metric,estimate,ci_low,ci_high
pearson_r,0.8285037765059989,0.6393494077525712,0.9378658117357883
spearman_rho,0.8170537213126928,0.5591058086579028,0.9254115503048417
kendall_tau,0.6701240287602747,0.44156435833253505,0.8271226640822201
linear_slope_native_pct_per_screen_pct,6.167711505295668,,
linear_intercept,-15.289930421174603,,
linear_r_squared,0.6864185076847023,,
linear_p_value,6.422106739312971e-06,,
linear_std_err,0.9825813523803593,,
linear_residual_rmse,8.195862746971438,,
linear_residual_mae,5.883021832387847,,
