zinc_id,engine_H,ref_H,engine_O,ref_O,engine_cascade,ref_cascade
ZINCj6000002m2pR,39.56218254058284,39.56218254058284,16.369341431291932,16.369341431291932,25.64647787500829,25.646477875008294
ZINCk5000003WWXg,34.38695355472221,34.38695355472221,17.160918321828085,17.160918321828085,24.051332414985737,24.051332414985737
ZINCh6000018XeqX,42.48908792811077,39.99793267811248,12.143588457792053,11.386241027646065,24.28178824591954,22.83091768783263
ZINCj7000002nUsv,34.168309532736544,34.168309532736544,18.33042777886906,18.33042777886906,24.66558048041605,24.665580480416054
ZINCk5000009FGhs,38.34275944886656,38.34275944886656,24.969418632951328,24.969418632951328,30.318754959317417,30.318754959317417
ZINCk700000AJ53N,41.557466502787214,41.557466502787214,16.416943773732818,16.416943773732818,26.473152865354574,26.473152865354578
ZINCj500000ffylE,38.34275944886656,38.34275944886656,21.04386202232096,21.043862022320962,27.9634209929392,27.963420992939202
ZINCk6000004dyEv,48.206981642737496,48.206981642737496,20.858575584215224,20.858575584215224,31.797938007624133,31.797938007624133
ZINCj7000018Tf5a,34.168309532736544,34.168309532736544,17.52738245751787,17.52738245751787,24.183753287605334,24.183753287605338
ZINCi80000015fZN,32.207787600796564,32.207787600796564,19.704433531567677,19.704433531567673,24.70577515925923,24.70577515925923
ZINCj800000JW4cI,33.935008419937205,33.935008419937205,17.35986098373043,17.35986098373043,23.98991995821314,23.98991995821314
ZINCj500000ffiBK,34.168309532736544,34.168309532736544,20.219932287872588,20.219932287872588,25.79928318581817,25.79928318581817
ZINCh500000JTm06,34.74960601639999,34.74960601639999,18.531153848171293,18.531153848171293,25.01853471546277,25.01853471546277
ZINCh600000K4kXF,34.351665344695306,34.351665344695306,17.696096086750025,17.696096086750025,24.358323789928136,24.358323789928136
ZINCk6000009JypK,34.38695355472221,34.38695355472221,17.79758153482455,17.79758153482455,24.43333034278361,24.43333034278361
ZINCk600000PwCMV,35.53084632385342,35.53084632385342,18.13136681977844,18.131366819778442,25.091158621408432,25.091158621408432
ZINCi600000cVY82,34.351665344695306,34.351665344695306,18.348199284149675,18.348199284149675,24.749585708367928,24.749585708367928
ZINCk800000PtvXm,34.351665344695306,34.351665344695306,19.559496072866654,19.559496072866658,25.47636378159812,25.476363781598117
ZINCj800000y9cSp,34.932961828358735,34.932961828358735,16.469550172060178,16.469550172060178,23.854914834579603,23.854914834579603
ZINCk700001bNgyl,38.34275944886656,38.34275944886656,20.779058846078332,20.779058846078335,27.804539087193625,27.804539087193625
ZINCk700001bPKsP,34.168309532736544,34.168309532736544,20.71079701506995,20.71079701506995,26.093802022136583,26.093802022136586
ZINCj5000002h3y9,32.07394797713363,32.07394797713363,18.76992748273141,18.769927482731415,24.0915356804923,24.0915356804923
ZINCj500000crn2D,32.391143412755326,32.391143412755326,19.166607133781643,19.166607133781643,24.45642164537112,24.45642164537112
ZINCj5000002axaf,32.207787600796564,32.207787600796564,21.18614309098314,21.18614309098314,25.59480089490851,25.59480089490851
ZINCk600000Pziko,29.82129840447632,29.821298404476316,23.63498482982502,23.63498482982502,26.109510259685536,26.109510259685536
ZINCk500000gaoBb,36.38223751692659,36.38223751692659,22.6947286751306,22.694728675130598,28.169732211848995,28.169732211848995
ZINCk600000PtvhJ,38.34275944886656,38.34275944886656,18.18487897453272,18.18487897453272,26.24803116426625,26.248031164266255
ZINCk7000004goV3,36.755201860911455,34.168309532736544,18.600614619989088,19.074895969911736,25.86244951635804,25.112261395041656
ZINCj800000JV4wV,36.74488997860436,36.74488997860436,16.422824023441834,16.422824023441834,24.551650405506845,24.551650405506845
ZINCk500000dobtZ,36.92824579056311,36.92824579056311,16.46400038897035,16.46400038897035,24.649698549607457,24.649698549607457
ZINCh500000057hA,34.932961828358735,34.932961828358735,16.836874367070852,16.836874367070852,24.075309351586007,24.075309351586007
ZINCk5000009AqW4,33.81239250864757,33.81239250864757,17.91509188558767,17.91509188558767,24.274012134811628,24.274012134811628
ZINCk500000dppUs,34.168309532736544,34.168309532736544,18.591726927132463,18.591726927132466,24.822359969374094,24.822359969374098
ZINCj600000JTvBb,34.38103669862671,34.38103669862671,17.85219161012832,17.85219161012832,24.463729645527675,24.463729645527675
ZINCk700000EmvGT,32.391143412755326,32.391143412755326,19.760231029456147,19.760231029456147,24.81259598277582,24.81259598277582
ZINCk700000gsNMz,32.207787600796564,32.207787600796564,18.14745579209341,18.14745579209341,23.77158851557467,23.77158851557467
ZINCi500000cpbR3,32.391143412755326,32.391143412755326,18.54098893913516,18.540988939135158,24.08105072858323,24.08105072858323
ZINCk8000004jz8x,36.54992451139248,36.549924511392476,15.892288033914536,15.892288033914536,24.155342624905717,24.155342624905714
ZINCk5000009CVpA,34.168309532736544,34.168309532736544,17.152254881459033,17.152254881459033,23.95867674197004,23.958676741970038
ZINCj600000AJjWj,32.391143412755326,32.391143412755326,18.81821992899385,18.818219928993855,24.24738932249845,24.247389322498446
ZINCk6000009J2JA,31.3584279740694,31.358427974069397,19.952058513928307,19.952058513928307,24.51460629798474,24.51460629798474
ZINCj8000002r9tt,32.391143412755326,32.391143412755326,19.699325261522524,19.699325261522524,24.776052522015647,24.776052522015647
ZINCj800000FCTSH,34.168309532736544,34.168309532736544,17.034107963196647,17.034107963196647,23.887788591012605,23.887788591012605
ZINCk5000003VSqP,34.168309532736544,34.168309532736544,18.367894174827217,18.367894174827217,24.68806031799095,24.68806031799095
ZINCk6000004cskJ,34.351665344695306,34.351665344695306,19.84193392865385,19.841933928653855,25.645826495070438,25.645826495070434
ZINCj700000PKodz,34.168309532736544,34.168309532736544,17.423529293488453,17.423529293488453,24.121441389187687,24.121441389187687
ZINCi500000cVE2u,32.07394797713363,32.07394797713363,19.95348588264429,19.953485882644294,24.80167072044003,24.80167072044003
ZINCk500000dpFUm,34.714317806373074,34.714317806373074,18.801754040809925,18.801754040809925,25.166779547035183,25.166779547035183
ZINCk700000grPpq,32.7537958744331,32.7537958744331,19.446869298028293,19.446869298028293,24.769639928590216,24.769639928590216
ZINCk600000dqLks,32.207787600796564,32.207787600796564,18.53076545424908,18.530765454249078,24.001574312868076,24.001574312868073
ZINCj500000y8REp,33.53556236164904,33.53556236164904,19.50004721390118,19.50004721390118,25.11425327300032,25.11425327300032
ZINCk600000PBD40,36.74488997860436,36.74488997860436,17.600693369795376,17.600693369795376,25.25837201331897,25.25837201331897
ZINCk5000009Bjce,35.53084632385342,35.53084632385342,17.88515420804189,17.88515420804189,24.9434310543665,24.9434310543665
ZINCk6000004cATr,34.714317806373074,34.714317806373074,17.141986930484276,17.141986930484276,24.170919280839797,24.170919280839794
ZINCj500000c9VmM,38.34275944886656,38.34275944886656,19.497295438567637,19.497295438567633,27.0354810426872,27.035481042687202
ZINCk800000Pzmg5,38.92405593253,38.92405593253,16.08663207139486,16.08663207139486,25.221601615848915,25.221601615848915
ZINCk600000GfMPb,36.92824579056311,36.92824579056311,19.555577933906555,19.555577933906555,26.504645076569176,26.504645076569176
ZINCk50000045qVV,35.38664720980987,35.38664720980987,20.28615358283165,20.286153582831652,26.32635103362294,26.32635103362294
ZINCi500000y8ASW,34.168309532736544,34.168309532736544,18.601491863882835,18.601491863882835,24.82821893142432,24.828218931424317
ZINCk500000g6NQn,34.168309532736544,34.168309532736544,20.03195828337141,20.031958283371406,25.68649878311746,25.68649878311746
ZINCk600000PAEpL,29.63794259251756,29.637942592517557,20.693085088589218,20.693085088589218,24.271028090160552,24.271028090160552
ZINCk500000geJaN,34.351665344695306,34.351665344695306,24.80741297847628,24.80741297847628,28.625113924963884,28.625113924963884
