quartile_index,quartile_label,n,screen_min_pct,screen_max_pct,screen_median_pct,native_min_pct,native_q1_pct,native_median_pct,native_q3_pct,native_max_pct,native_mean_pct
0,"Q1
8.956-13.993%",288,8.956033123561976,13.993421908437458,13.049765539079262,28.9936303096501,42.75194609485638,47.66948978077176,55.99804941825661,72.00121283194781,49.017730149501666
1,"Q2
13.998-14.953%",288,13.997922079655504,14.953308425311306,14.50120975478182,33.433082989672975,47.66948978077176,48.76679230654074,58.103719090891246,74.67390888937828,52.412419331050536
2,"Q3
14.954-15.635%",288,14.9535059280564,15.635262798516806,15.29628411170202,34.578611632587084,45.42464215228684,49.19665719528811,57.60464528994052,74.67390888937828,51.72155754123472
3,"Q4
15.649-18.411%",288,15.649205226161866,18.41143741402957,16.213341492464764,28.9936303096501,47.66948978077176,55.99804941825661,56.35810890276503,87.76478703756293,52.53579574659301
