metric,estimate,ci_low,ci_high
pearson_r,0.1884996718429502,0.12712570770437712,0.24820702612990247
spearman_rho,0.1475598702067721,0.08919802118563525,0.20548898301833768
kendall_tau,0.10237013656862998,0.06081492927688793,0.14440766491949977
linear_slope_native_pct_per_screen_pct,1.0310806337512843,,
linear_intercept,36.2294305837389,,
linear_r_squared,0.03553212628490015,,
linear_p_value,1.1270941086318703e-10,,
linear_std_err,0.15840795745197953,,
linear_residual_rmse,7.5913083785989945,,
linear_residual_mae,6.416248135447891,,
