job,method,metric,identifier_ordered,tie_aware,correction
glp1r_seed2,full_cascade,roc_auc,0.785,0.7465,tie handling
glp1r_seed2,full_cascade,pr_auc,0.4634453253903908,0.3635936012039004,tie handling
glp1r_seed2,full_cascade,ef_1pct,30.0,23.25,tie handling plus actual-cutoff EF normalization
glp1r_seed2,full_cascade,ef_5pct,10.0,7.946557971014491,tie handling plus actual-cutoff EF normalization
glp1r_seed2,full_cascade,ef_01pct,100.0,31.0,tie handling plus actual-cutoff EF normalization
glp1r_seed2,full_cascade,top10_recovery,0.5,0.40144927536231884,tie handling
glp1r_seed2,full_cascade,top25_recovery,0.5,0.4231884057971015,tie handling
glp1r_seed2,full_cascade,top50_recovery,0.5,0.45942028985507244,tie handling
glp1r_seed2,full_cascade,bedroc,0.5461540746740168,0.4817924555006294,tie handling
glp1r_seed2,stage3_only,roc_auc,0.6970000000000001,0.6918333333333333,tie handling
glp1r_seed2,stage3_only,pr_auc,0.279310596860746,0.2789521739216778,tie handling
glp1r_seed2,stage3_only,ef_1pct,20.0,15.5,tie handling plus actual-cutoff EF normalization
glp1r_seed2,stage3_only,ef_5pct,5.999999999999999,5.8125,tie handling plus actual-cutoff EF normalization
glp1r_seed2,stage3_only,ef_01pct,100.0,31.0,tie handling plus actual-cutoff EF normalization
glp1r_seed2,stage3_only,top10_recovery,0.3,0.3,tie handling
glp1r_seed2,stage3_only,top25_recovery,0.3,0.3,tie handling
glp1r_seed2,stage3_only,top50_recovery,0.4,0.4,tie handling
glp1r_seed2,stage3_only,bedroc,0.3480021384382438,0.3480021372356816,tie handling
glp1r_seed2,standard_3d_pharmacophore,roc_auc,0.72,0.72,tie handling
glp1r_seed2,standard_3d_pharmacophore,pr_auc,0.2344711273408148,0.23447112734081482,tie handling
glp1r_seed2,standard_3d_pharmacophore,ef_1pct,20.0,15.5,tie handling plus actual-cutoff EF normalization
glp1r_seed2,standard_3d_pharmacophore,ef_5pct,5.999999999999999,5.8125,tie handling plus actual-cutoff EF normalization
glp1r_seed2,standard_3d_pharmacophore,ef_01pct,100.0,31.0,tie handling plus actual-cutoff EF normalization
glp1r_seed2,standard_3d_pharmacophore,top10_recovery,0.2,0.2,tie handling
glp1r_seed2,standard_3d_pharmacophore,top25_recovery,0.3,0.3,tie handling
glp1r_seed2,standard_3d_pharmacophore,top50_recovery,0.4,0.4,tie handling
glp1r_seed2,standard_3d_pharmacophore,bedroc,0.316188213328927,0.3161882133289268,tie handling
