system,policy,stage,total,actives,decoys,background,active_survival_pct
ghsr,floor1000,input,31550,50,1500,30000,100.0
ghsr,floor1000,stage0_pass,31366,50,1500,29816,100.0
ghsr,floor1000,stage012_pass,277,39,208,30,78.0
ghsr,floor1000,shortlist,277,39,208,30,78.0
ghsr,floor1000,stage3_success,277,39,208,30,78.0
ghsr,floor1000,native_selected,271,39,202,30,78.0
ghsr,floor1000,native_success,271,39,202,30,78.0
ghsr,floor1000,final_ranked,271,39,202,30,78.0
