system,policy,stage,total,actives,decoys,background,active_survival_pct
glp1r,floor1000,input,30310,10,300,30000,100.0
glp1r,floor1000,stage0_pass,30126,10,300,29816,100.0
glp1r,floor1000,stage012_pass,29274,9,235,29030,90.0
glp1r,floor1000,shortlist,1464,8,19,1437,80.0
glp1r,floor1000,stage3_success,1462,8,19,1435,80.0
glp1r,floor1000,native_selected,647,8,11,628,80.0
glp1r,floor1000,native_success,647,8,11,628,80.0
glp1r,floor1000,final_ranked,647,8,11,628,80.0
