zinc_id,smiles,mw,logp,hbd,hba,rotatable_bonds,lipinski,chemistry_flagged,pains_alert,reactive_flags,hotspot_weighted_pct,hotspot_bits_matched,hotspot_exact_matches,hotspot_compatible_matches,hotspot_exact_residue_count,hotspot_group_count,hotspot_required_groups_pass,native_supported_hotspot_bits_matched,native_supported_hotspot_exact_matches,native_supported_hotspot_exact_residue_count,native_supported_hotspot_weighted_pct,pair_hash_overlap_pct,pair_hash_recall_pct,pair_hash_precision_pct,cascade_score_pct,shortlist_rank
CHEMBL1493442,COc1ccc(Oc2cc(NC(=O)c3nn(C)cc3[N+](=O)[O-])cc([N+](=O)[O-])c2)cc1,413.3460000000002,3.2897000000000007,1,9,7,1,0,,,51.66187788934886,14,11,3,11,3,1,0,0,0,0.0,25.88090953616519,18.59290442895844,42.56572870264858,32.326151624461104,1
CHEMBL3315213,O=C(Cn1ccc2cc(-c3cnc4ccccc4c3)ccc21)N[C@@H](Cc1ccccc1)C(=O)O,449.51000000000016,4.668600000000002,2,4,7,1,0,,,33.79822083746637,11,5,6,5,3,1,0,0,0,0.0,21.873595919839385,14.642050748715366,43.21895424836601,24.854752149246128,2
CHEMBL463811,CC(C)C[C@H](NC(=O)Cn1ccc2cc(NS(=O)(=O)c3cccc4cccnc34)ccc21)C(=O)O,494.57300000000026,3.6058000000000012,3,6,9,1,0,,,35.997125514953936,12,5,7,5,2,1,0,0,0,0.0,20.59579658032982,15.83103743614728,29.46363882130305,24.44612881398585,3
CHEMBL3315209,CC(C)C[C@H](NC(=O)Cn1ccc2cc(-c3cnc4ccccc4c3)ccc21)c1nn[nH]n1,439.5230000000001,4.273200000000003,2,6,7,1,0,,,33.79822083746637,11,5,6,5,3,1,0,0,0,0.0,19.45773080696334,13.531682431148152,34.61852518738746,23.042853314589102,4
CHEMBL3315204,CC(C)C[C@H](NC(=O)Cn1ccc2cc(Nc3ccc4cnccc4c3)ccc21)C(=O)O,430.50800000000015,4.548600000000002,3,5,8,1,0,,,32.61416334874785,11,4,7,4,2,1,0,0,0,0.0,19.7820350116067,13.949838575889196,33.99462434404201,22.990067095891987,5
CHEMBL3099777,COc1cccc(OC)c1-c1nc(C(=O)N[C@@H](CC(C)C)C(=O)O)cn1-c1ccnc2ccccc12,488.5440000000002,4.333800000000003,2,7,9,1,0,,,36.732170222337295,12,6,6,6,2,1,0,0,0,0.0,17.84721042732737,14.315875115323148,23.691176470588246,22.568450376079852,6
CHEMBL462830,COc1ccccc1-c1cc(C(=O)N[C@@H](CC(C)C)C(=O)O)nn1-c1ccnc2cc(Cl)ccc12,492.96300000000014,4.978600000000004,2,6,8,1,0,,,33.39071482145173,11,5,6,5,2,1,0,0,0,0.0,17.631820105975198,12.886994082778576,27.90671473636775,21.571543784844334,7
CHEMBL3315202,CC(C)C[C@H](NC(=O)Cn1ccc2cc(-c3cccc4cnccc34)ccc21)C(=O)O,415.49300000000017,4.472000000000003,2,4,7,1,0,,,30.007752655245646,10,4,6,4,2,1,0,0,0,0.0,18.48767105636552,12.459397651682956,35.81725939320878,21.367691456085552,8
CHEMBL3315203,CC(C)C[C@H](NC(=O)Cn1ccc2cc(-c3cncc4ccccc34)ccc21)C(=O)O,415.49300000000017,4.472000000000003,2,4,7,1,0,,,30.007752655245646,10,4,6,4,2,1,0,0,0,0.0,17.950121338102637,12.051117034262328,35.16174402250353,20.964529167388392,9
CHEMBL3315193,CC(C)C[C@H](NC(=O)Cn1ccc2cc(-c3cnc4ccccc4c3)ccc21)C(=O)O,415.4930000000001,4.472000000000002,2,4,7,1,0,,,30.007752655245646,10,4,6,4,2,1,0,0,0,0.0,17.405276848412505,11.718454040741587,33.81555153707053,20.55589580012079,10
ZINCk600000cLi01,NOCCNC(=O)Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],284.228,0.05200000000000071,2,7,7,1,0,,,40.02566131863103,11,7,4,7,3,1,0,0,0,0.0,13.298176828754293,8.49773768148925,30.564050288820933,19.98004795122348,11
CHEMBL3099769,COc1cccc(OC)c1-c1nc(C(=O)N[C@@H](CC(C)C)C(=O)O)cn1-c1cccc2ccccc12,487.5560000000002,4.938800000000004,2,6,9,1,0,,,33.39071482145173,11,5,6,5,2,1,0,0,0,0.0,15.010488309483353,11.374510424296822,22.063221274460616,19.60554493747545,12
CHEMBL1490404,Cn1cc([N+](=O)[O-])c(C(=O)Nc2nc(-c3ccc(Cl)cc3)cs2)n1,363.786,3.357500000000001,1,7,4,1,0,,,34.59562803357751,10,6,4,6,2,1,0,0,0,0.0,11.865448985651204,7.234234234458693,32.97610248829762,17.54799374763278,13
ZINCj8000018TxlL,O=c1sc(Br)nn1C[C@@H](O)Cn1cc([N+](=O)[O-])cn1,350.15400000000005,0.23309999999999992,1,9,5,1,0,,,30.71184253871794,9,5,4,5,2,1,0,0,0,0.0,12.686450282892652,7.508320554256338,40.878169449598026,17.192798346848974,14
ZINCk6000018TfsA,COCC[C@@H](O)Cn1cc([N+](=O)[O-])cc([N+](=O)[O-])c1=O,287.22800000000007,0.06209999999999988,1,8,7,1,0,,,37.55985641835179,10,7,3,7,3,1,0,0,0,0.0,9.867519851627652,6.3428186028978875,22.20911360799002,16.790603993308686,15
ZINCk700000FCEau,N#CCC(=O)OCCNC(=O)c1cncc([N+](=O)[O-])c1,278.224,0.1764799999999998,1,7,6,1,0,,,30.094957272000688,9,5,4,5,2,1,0,0,0,0.0,12.324447763886226,7.675308726791344,31.258637543398386,16.76707514091484,16
ZINCk7000018Th5o,COCCNC(=O)[C@@H](C#N)C(=O)c1cc([N+](=O)[O-])sn1,298.28,0.13638,1,8,7,1,0,,,33.32402722009792,10,6,4,6,2,1,0,0,0,0.0,11.08943356309469,7.134652054713469,24.881280166515076,16.648081977345498,17
CHEMBL2431120,COc1cc2nc(C3CC3)nc(N3CCN(c4ccccc4OC)CC3)c2cc1OC,420.51300000000026,3.859600000000003,0,7,6,1,0,,,27.54773352994046,9,5,4,5,2,1,0,0,0,0.0,12.855475927207635,9.440456824973714,20.14153511159501,16.528540327890838,18
CHEMBL1446377,COc1cc2nc(C3CCC3)nc(N3CCN(c4ccccc4OC)CC3)c2cc1OC,434.54000000000025,4.249700000000003,0,7,6,1,0,,,27.54773352994046,9,5,4,5,2,1,0,0,0,0.0,12.826508611735369,9.440456824973714,20.000000000000018,16.506814841286644,19
CHEMBL2431121,COc1cc2nc(C3CCCC3)nc(N3CCN(c4ccccc4OC)CC3)c2cc1OC,448.56700000000023,4.639800000000005,0,7,6,1,0,,,27.54773352994046,9,5,4,5,2,1,0,0,0,0.0,12.826508611735369,9.440456824973714,20.000000000000018,16.506814841286644,20
