stage3_screen_rank,zinc_id,smiles,coverage_pct,anchor_weighted_pct,geometry_penalty_factor,weighted_coverage_pct,features_matched,mw,logp,hbd,hba,rotatable_bonds,lipinski,chemistry_flagged,pains_alert,reactive_flags,hotspot_weighted_pct,hotspot_bits_matched,hotspot_exact_matches,hotspot_compatible_matches,hotspot_exact_residue_count,hotspot_group_count,hotspot_required_groups_pass,native_supported_hotspot_bits_matched,native_supported_hotspot_exact_matches,native_supported_hotspot_exact_residue_count,native_supported_hotspot_weighted_pct,pair_hash_overlap_pct,pair_hash_recall_pct,pair_hash_precision_pct,cascade_score_pct,shortlist_rank,rerank_conformers,best_conformer_id,fit_rmsd_angstrom,mean_pair_distance_error_angstrom,reference_feature_span_angstrom,ligand_feature_span_angstrom,rerank_query_feature_count
1,CHEMBL3315213,O=C(Cn1ccc2cc(-c3cnc4ccccc4c3)ccc21)N[C@@H](Cc1ccccc1)C(=O)O,25.0,24.946819763819402,0.6898209381388801,17.208838613059456,7,449.51000000000016,4.668600000000002,2,4,7,1,,,,33.79822083746637,11,5,6,5,3,1,,,,,21.873595919839385,14.642050748715366,43.21895424836601,24.854752149246128,2,16,9,1.7315711223839862,1.1730507403000938,14.962237934212922,13.827685761326029,28
2,CHEMBL3315209,CC(C)C[C@H](NC(=O)Cn1ccc2cc(-c3cnc4ccccc4c3)ccc21)c1nn[nH]n1,21.428571428571427,21.527267045397863,0.7637487840457798,16.441424029751406,6,439.5230000000001,4.273200000000003,2,6,7,1,,,,33.79822083746637,11,5,6,5,3,1,,,,,19.45773080696334,13.531682431148152,34.61852518738746,23.042853314589102,4,16,8,1.4727587749277171,0.9994476120081269,12.790023064873655,12.43336613992401,28
3,CHEMBL3315202,CC(C)C[C@H](NC(=O)Cn1ccc2cc(-c3cccc4cnccc34)ccc21)C(=O)O,17.857142857142858,18.33427000149602,0.8955021061970079,16.418377401924303,5,415.49300000000017,4.472000000000003,2,4,7,1,,,,30.007752655245646,10,4,6,4,2,1,,,,,18.48767105636552,12.459397651682956,35.81725939320878,21.367691456085552,8,16,14,1.0753128727040822,0.4199880292261975,13.087058989704293,12.921418761982384,28
4,CHEMBL463811,CC(C)C[C@H](NC(=O)Cn1ccc2cc(NS(=O)(=O)c3cccc4cccnc34)ccc21)C(=O)O,21.428571428571427,22.066174593310514,0.7248313635808104,15.994255419481494,6,494.57300000000026,3.6058000000000012,3,6,9,1,,,,35.997125514953936,12,5,7,5,2,1,,,,,20.59579658032982,15.83103743614728,29.46363882130305,24.44612881398585,3,16,5,1.5062847535155772,1.161312558659754,10.122770668152079,9.249942182887466,28
5,CHEMBL3315204,CC(C)C[C@H](NC(=O)Cn1ccc2cc(Nc3ccc4cnccc4c3)ccc21)C(=O)O,21.428571428571427,21.527267045397863,0.7398350773540819,15.926627279753907,6,430.50800000000015,4.548600000000002,3,5,8,1,,,,32.61416334874785,11,4,7,4,2,1,,,,,19.7820350116067,13.949838575889196,33.99462434404201,22.990067095891987,5,16,5,1.6598798377429942,1.0076722670420426,12.790023064873655,13.137373721467496,28
6,CHEMBL3315203,CC(C)C[C@H](NC(=O)Cn1ccc2cc(-c3cncc4ccccc34)ccc21)C(=O)O,17.857142857142858,18.33427000149602,0.8561052900226448,15.696065536984225,5,415.49300000000017,4.472000000000003,2,4,7,1,,,,30.007752655245646,10,4,6,4,2,1,,,,,17.950121338102637,12.051117034262328,35.16174402250353,20.964529167388392,9,16,3,1.1007790697651516,0.7085145624291215,13.087058989704293,13.052169978209816,28
7,CHEMBL3315193,CC(C)C[C@H](NC(=O)Cn1ccc2cc(-c3cnc4ccccc4c3)ccc21)C(=O)O,21.428571428571427,21.527267045397863,0.6996337362755584,15.061202274773407,6,415.4930000000001,4.472000000000002,2,4,7,1,,,,30.007752655245646,10,4,6,4,2,1,,,,,17.405276848412505,11.718454040741587,33.81555153707053,20.55589580012079,10,16,10,1.844889245795109,1.1102693692148293,12.790023064873655,13.344656391629941,28
8,CHEMBL1493442,COc1ccc(Oc2cc(NC(=O)c3nn(C)cc3[N+](=O)[O-])cc([N+](=O)[O-])c2)cc1,17.857142857142858,18.646621874888975,0.7728234687558585,14.410546997930567,5,413.3460000000002,3.2897000000000007,1,9,7,1,,,,51.66187788934886,14,11,3,11,3,1,,,,,25.88090953616519,18.59290442895844,42.56572870264858,32.326151624461104,1,16,13,1.307590599892493,1.0519735804811934,10.122770668152079,10.649825446503488,28
9,CHEMBL2431120,COc1cc2nc(C3CC3)nc(N3CCN(c4ccccc4OC)CC3)c2cc1OC,17.857142857142858,19.333574592865542,0.725420185461091,14.024965266782358,5,420.51300000000026,3.859600000000003,0,7,6,1,,,,27.54773352994046,9,5,4,5,2,1,,,,,12.855475927207635,9.440456824973714,20.14153511159501,16.528540327890838,18,16,3,1.5349310932278455,1.2078979988838985,10.122770668152079,10.089579437496397,28
10,CHEMBL1446377,COc1cc2nc(C3CCC3)nc(N3CCN(c4ccccc4OC)CC3)c2cc1OC,17.857142857142858,19.333574592865542,0.7145927333621065,13.815631913975963,5,434.54000000000025,4.249700000000003,0,7,6,1,,,,27.54773352994046,9,5,4,5,2,1,,,,,12.826508611735369,9.440456824973714,20.000000000000018,16.506814841286644,19,16,2,1.5822093500125345,1.238750770955828,10.122770668152079,10.306796561015528,28
