zinc_id,smiles,coverage_pct,anchor_weighted_pct,geometry_penalty_factor,weighted_coverage_pct,features_matched,mw,logp,hbd,hba,rotatable_bonds,lipinski,chemistry_flagged,pains_alert,reactive_flags,hotspot_weighted_pct,hotspot_bits_matched,hotspot_exact_matches,hotspot_compatible_matches,hotspot_exact_residue_count,hotspot_group_count,hotspot_required_groups_pass,native_supported_hotspot_bits_matched,native_supported_hotspot_exact_matches,native_supported_hotspot_exact_residue_count,native_supported_hotspot_weighted_pct,pair_hash_overlap_pct,pair_hash_recall_pct,pair_hash_precision_pct,cascade_score_pct,shortlist_rank,rerank_conformers,best_conformer_id,fit_rmsd_angstrom,mean_pair_distance_error_angstrom,reference_feature_span_angstrom,ligand_feature_span_angstrom,rerank_query_feature_count
CHEMBL4164040,Nc1ccncc1C(=O)N[C@H]1c2ccccc2C[C@@H]1NC(=O)c1cc2c(F)cc(F)cc2[nH]1,21.428571428571427,21.93916582688174,0.8080598390772927,17.7281588075601,6,447.4450000000001,3.249100000000001,4,4,4,1,,,,33.69533478231311,11,4,7,4,2,1,,,,,24.45171962062359,18.23570874839218,37.0969754808398,26.762623411045972,6,16,9,1.4534180995120716,0.7325434958693197,12.649328401144459,12.800603640182388,28
CHEMBL259166,CC(C)(N)C(=O)N[C@H](COCc1ccccc1)c1nnnn1CCCC(=O)NCCSCCO,21.428571428571427,21.883806606260716,0.7891659744846733,17.26995556586387,6,493.63400000000036,0.40640000000000015,4,10,16,1,,,,29.07337943761589,10,3,7,3,2,1,,,,,25.96539846135383,21.10013945912662,33.74669312169311,26.742393705419342,7,16,9,1.4578633656813442,0.8050947078769345,11.827453064798013,11.117223050895971,28
CHEMBL4164328,CN(C)CCNC(=O)[C@H]1c2ccccc2C[C@@H]1NC(=O)c1cc2ccccc2[nH]1,17.857142857142858,18.953448192927702,0.9045822801425883,17.14495338292296,5,390.48700000000014,2.283999999999999,3,3,6,1,,,,27.275117069153946,9,3,6,3,2,1,,,,,16.60838039894195,12.239942957035804,25.825508004926114,19.275064566494947,64,16,1,0.8693050276043773,0.553504555718636,8.254082929072135,8.20652829717253,28
CHEMBL271876,CC(C)(N)C(=O)N[C@H](COCc1ccccc1)c1nnnn1[C@H](CC#N)COc1ccccn1,21.428571428571427,21.93916582688174,0.76830269241025,16.85592017402819,6,464.5300000000002,1.713279999999999,2,10,12,1,,,,31.704392034230118,10,5,5,5,2,1,,,,,22.287992319142177,16.85783542234807,32.87870809197822,24.64209224791416,12,16,9,1.6906019352631414,0.7892727212574667,12.649328401144459,12.310167614550563,28
ZINCk600001bPrL8,CN(Cc1cc(CO)no1)c1ncnc(N)c1[N+](=O)[O-],17.857142857142858,18.287822287125632,0.8677350748835605,15.868984841776207,5,280.244,0.08370000000000027,2,9,5,1,,,,31.859447004670212,9,5,4,5,2,1,,,,,14.663180231703693,9.26693536368118,35.10555638215213,18.962246924945322,72,16,8,0.9042135488172239,0.7567898089149507,9.390882812600731,8.93599203396425,28
ZINCk700000x2z5n,NC(=O)CS(=O)(=O)NC(=O)c1cc2ncc(Br)cc2o1,17.857142857142858,18.287822287125632,0.844212584847584,15.438809724247585,5,362.161,0.13520000000000026,2,6,4,1,,,,27.596833880108466,9,4,5,4,2,1,,,,,16.749586027085694,10.815895366029961,37.106549364613876,19.46139799034139,61,16,4,1.2224964376968288,0.6853282279738171,9.390882812600731,9.518536052553548,28
ZINCk800000gu5Mi,CCC[C@H](C(=O)Nc1cnc(C(N)=O)s1)c1nn[nH]n1,17.857142857142858,18.287822287125632,0.8413060622542066,15.385655755586383,5,295.328,0.27749999999999964,3,7,6,1,,,,26.721918824471818,9,3,6,3,2,1,,,,,18.756419111426716,12.382031603519172,38.6578449905482,20.747794039687996,38,16,11,1.1491352223568723,0.7553498391523112,9.390882812600731,9.729034874493275,28
ZINCk700000Bn8u5,O=C(O)c1cn(CCCNC(=O)c2c[nH]nc2I)nn1,14.285714285714286,17.708480516576707,0.8670099873818424,15.353429469228773,4,390.141,0.12409999999999999,3,6,6,1,,,,26.721918824471818,9,3,6,3,2,1,,,,,19.753670474667246,13.261480031783195,38.69872947728724,21.495732562118384,31,16,4,0.8209893899881769,0.8022020006055858,12.609273135276275,12.028779241230716,28
CHEMBL4645148,Cc1ccc2[nH]c(C(=O)N[C@H]3CN(S(=O)(=O)c4cccnc4)C[C@@H]3C(=O)NCCN(C)C)cc2c1,21.428571428571427,21.93916582688174,0.6985522783946679,15.325654274446679,6,498.60900000000026,0.968220000000001,3,6,8,1,,,,30.00988505211415,10,4,6,4,2,1,,,,,22.062441861080387,17.237909371553304,30.637140637140636,24.04930265883883,15,16,13,1.4914527684168513,1.2077285194990897,12.649328401144459,11.132697351563728,28
ZINCj600000JU75f,Nc1nonc1C(=NO)Sc1cnc(C(=O)O)cn1,17.857142857142858,18.287822287125632,0.8305834808749761,15.189563092863775,5,282.241,0.0680999999999996,3,10,3,1,,,,30.00988505211415,10,4,6,4,2,1,,,,,24.439238578787,16.273041159501105,49.057407302254276,25.831900197118784,10,16,1,1.0722331606003996,0.8602044043584186,9.390882812600731,8.823614084430456,28
