stage3_screen_rank,zinc_id,smiles,coverage_pct,anchor_weighted_pct,geometry_penalty_factor,weighted_coverage_pct,features_matched,mw,logp,hbd,hba,rotatable_bonds,lipinski,chemistry_flagged,pains_alert,reactive_flags,hotspot_weighted_pct,hotspot_bits_matched,hotspot_exact_matches,hotspot_compatible_matches,hotspot_exact_residue_count,hotspot_group_count,hotspot_required_groups_pass,native_supported_hotspot_bits_matched,native_supported_hotspot_exact_matches,native_supported_hotspot_exact_residue_count,native_supported_hotspot_weighted_pct,pair_hash_overlap_pct,pair_hash_recall_pct,pair_hash_precision_pct,cascade_score_pct,shortlist_rank,rerank_conformers,best_conformer_id,fit_rmsd_angstrom,mean_pair_distance_error_angstrom,reference_feature_span_angstrom,ligand_feature_span_angstrom,rerank_query_feature_count,pool_source_stage3_rank,pool_source_hotspot_breadth,pool_source_native_support,pool_primary_source,murcko_scaffold,native_candidate_pool_rank,native_selection_rank,source_input_rank
10,CHEMBL1493442,COc1ccc(Oc2cc(NC(=O)c3nn(C)cc3[N+](=O)[O-])cc([N+](=O)[O-])c2)cc1,17.857142857142858,18.64662187488897,0.7728234687558585,14.410546997930568,5,413.3460000000002,3.2897000000000007,1,9,7,1,,,,51.66187788934886,14,11,3,11,3,1,,,,,25.88090953616519,18.59290442895844,42.56572870264858,32.326151624461104,1,16,13,1.307590599892493,1.0519735804811934,10.12277066815208,10.649825446503488,28,1,1,1,stage3_rank,O=C(Nc1cccc(Oc2ccccc2)c1)c1cc[nH]n1,1,1,1
1,CHEMBL3315213,O=C(Cn1ccc2cc(-c3cnc4ccccc4c3)ccc21)N[C@@H](Cc1ccccc1)C(=O)O,25.0,24.9468197638194,0.6898209381388801,17.208838613059456,7,449.51000000000016,4.668600000000002,2,4,7,1,,,,33.79822083746637,11,5,6,5,3,1,,,,,21.873595919839385,14.642050748715366,43.21895424836601,24.854752149246128,2,16,9,1.7315711223839862,1.1730507403000938,14.962237934212922,13.827685761326029,28,1,1,1,stage3_rank,O=C(Cn1ccc2cc(-c3cnc4ccccc4c3)ccc21)NCCc1ccccc1,2,2,2
2,CHEMBL3315209,CC(C)C[C@H](NC(=O)Cn1ccc2cc(-c3cnc4ccccc4c3)ccc21)c1nn[nH]n1,21.428571428571427,21.527267045397863,0.7637487840457798,16.441424029751406,6,439.5230000000001,4.273200000000003,2,6,7,1,,,,33.79822083746637,11,5,6,5,3,1,,,,,19.45773080696334,13.531682431148152,34.61852518738746,23.042853314589102,4,16,8,1.4727587749277171,0.9994476120081268,12.790023064873656,12.43336613992401,28,1,1,1,stage3_rank,O=C(Cn1ccc2cc(-c3cnc4ccccc4c3)ccc21)NCc1nn[nH]n1,3,3,3
5,CHEMBL463811,CC(C)C[C@H](NC(=O)Cn1ccc2cc(NS(=O)(=O)c3cccc4cccnc34)ccc21)C(=O)O,21.428571428571427,22.066174593310517,0.7248313635808104,15.994255419481494,6,494.57300000000026,3.605800000000001,3,6,9,1,,,,35.997125514953936,12,5,7,5,2,1,,,,,20.59579658032982,15.83103743614728,29.46363882130305,24.44612881398585,3,16,5,1.5062847535155772,1.161312558659754,10.12277066815208,9.249942182887466,28,1,1,1,stage3_rank,O=S(=O)(Nc1ccc2[nH]ccc2c1)c1cccc2cccnc12,4,4,4
16,CHEMBL3099777,COc1cccc(OC)c1-c1nc(C(=O)N[C@@H](CC(C)C)C(=O)O)cn1-c1ccnc2ccccc12,17.857142857142858,19.37081096862443,0.6468916546595507,12.53081595959083,5,488.5440000000002,4.333800000000003,2,7,9,1,,,,36.732170222337295,12,6,6,6,2,1,,,,,17.84721042732737,14.315875115323148,23.69117647058825,22.56845037607985,6,16,0,1.7088888594931346,1.4993368171656567,10.35189885962957,9.3082397505751,28,0,1,1,hotspot_breadth,c1ccc(-c2nccn2-c2ccnc3ccccc23)cc1,5,5,5
13,CHEMBL462830,COc1ccccc1-c1cc(C(=O)N[C@@H](CC(C)C)C(=O)O)nn1-c1ccnc2cc(Cl)ccc12,17.857142857142858,19.333574592865546,0.7013104199877774,13.558837317587557,5,492.96300000000014,4.978600000000004,2,6,8,1,,,,33.39071482145173,11,5,6,5,2,1,,,,,17.631820105975198,12.886994082778576,27.90671473636775,21.571543784844334,7,16,11,1.884980035212339,1.0762625522787743,10.12277066815208,10.588200565176995,28,0,1,1,hotspot_breadth,c1ccc(-c2ccnn2-c2ccnc3ccccc23)cc1,6,6,6
6,CHEMBL3315204,CC(C)C[C@H](NC(=O)Cn1ccc2cc(Nc3ccc4cnccc4c3)ccc21)C(=O)O,21.428571428571427,21.527267045397863,0.7398350773540819,15.926627279753909,6,430.50800000000015,4.548600000000002,3,5,8,1,,,,32.61416334874785,11,4,7,4,2,1,,,,,19.7820350116067,13.949838575889196,33.99462434404201,22.990067095891987,5,16,5,1.6598798377429942,1.0076722670420426,12.790023064873656,13.137373721467496,28,1,0,1,stage3_rank,c1cc2cc(Nc3ccc4[nH]ccc4c3)ccc2cn1,7,7,7
4,CHEMBL1468368,O=C1NC(=O)C(=Cc2cn(CCOc3ccc4c(c3)OCO4)c3ccccc23)C(=O)N1,17.857142857142858,19.333574592865546,0.8427438703600341,16.293251480285928,5,419.39300000000014,2.1984,2,7,5,1,,,,30.22868183968433,10,5,5,5,2,1,,,,,17.08461956367727,12.13472985794935,28.85481635481636,20.370635132679038,14,16,1,1.1622669366122906,0.7271749971945907,10.12277066815208,9.697694567008972,28,1,0,1,stage3_rank,O=C1NC(=O)C(=Cc2cn(CCOc3ccc4c(c3)OCO4)c3ccccc23)C(=O)N1,8,8,8
3,CHEMBL3315202,CC(C)C[C@H](NC(=O)Cn1ccc2cc(-c3cccc4cnccc34)ccc21)C(=O)O,17.857142857142858,18.33427000149602,0.8955021061970079,16.418377401924303,5,415.49300000000017,4.472000000000003,2,4,7,1,,,,30.00775265524565,10,4,6,4,2,1,,,,,18.48767105636552,12.459397651682956,35.81725939320878,21.367691456085552,8,16,14,1.0753128727040822,0.4199880292261975,13.087058989704293,12.921418761982384,28,1,0,1,stage3_rank,c1cc(-c2ccc3[nH]ccc3c2)c2ccncc2c1,9,9,9
12,CHEMBL3315223,CC(C)C[C@H](NC(=O)Cn1ccc2ccc(-c3cncc4ccccc34)cc21)C(=O)O,17.857142857142858,18.000831201590312,0.765732863166158,13.78382801536446,5,415.49300000000017,4.472000000000002,2,4,7,1,,,,30.00775265524565,10,4,6,4,2,1,,,,,18.058848687352604,12.070707712379631,35.83735181836449,21.046074679325866,9,16,12,1.3493069962571218,1.0802220485452927,12.25246595588006,11.897273918732797,28,1,0,1,stage3_rank,c1ccc2c(-c3ccc4cc[nH]c4c3)cncc2c1,10,10,10
7,CHEMBL3315203,CC(C)C[C@H](NC(=O)Cn1ccc2cc(-c3cncc4ccccc34)ccc21)C(=O)O,17.857142857142858,18.33427000149602,0.8561052900226448,15.696065536984223,5,415.49300000000017,4.472000000000003,2,4,7,1,,,,30.00775265524565,10,4,6,4,2,1,,,,,17.950121338102637,12.051117034262328,35.16174402250353,20.964529167388392,10,16,3,1.1007790697651516,0.7085145624291215,13.087058989704293,13.052169978209816,28,1,0,1,stage3_rank,c1ccc2c(-c3ccc4[nH]ccc4c3)cncc2c1,11,11,11
9,CHEMBL3315221,CC(C)C[C@H](NC(=O)Cn1ccc2ccc(-c3cnc4ccccc4c3)cc21)C(=O)O,17.857142857142858,18.61465815732825,0.7993926739568761,14.880421359179808,5,415.49300000000017,4.472000000000003,2,4,7,1,,,,30.00775265524565,10,4,6,4,2,1,,,,,17.511254105704054,11.734427112409126,34.491159332931495,20.63537874308945,11,16,1,1.144992400040471,0.9733479957457126,7.8947932208513265,7.120217257815695,28,1,0,1,stage3_rank,c1ccc2ncc(-c3ccc4cc[nH]c4c3)cc2c1,12,12,12
8,CHEMBL3315193,CC(C)C[C@H](NC(=O)Cn1ccc2cc(-c3cnc4ccccc4c3)ccc21)C(=O)O,21.428571428571427,21.527267045397863,0.6996337362755584,15.061202274773407,6,415.4930000000001,4.472000000000002,2,4,7,1,,,,30.00775265524565,10,4,6,4,2,1,,,,,17.405276848412505,11.718454040741587,33.81555153707053,20.55589580012079,13,16,10,1.844889245795109,1.110269369214829,12.790023064873656,13.34465639162994,28,1,0,1,stage3_rank,c1ccc2ncc(-c3ccc4[nH]ccc4c3)cc2c1,13,13,13
11,CHEMBL1966869,CCOC(=O)/C=c1\s/c(=C\c2ccc3cc(OC)ccc3c2)c(=O)n1CC(=O)NCC1CCCO1,21.428571428571427,23.259471168586188,0.6171011305352507,14.353445953786606,6,496.5850000000004,1.5392,1,8,8,1,,,,26.887226438798766,9,4,5,4,2,1,,,,,15.355350403986554,11.25807576959182,24.141390754032575,18.23831941268961,18,16,1,1.7731131999573662,1.4476426966843885,16.929141295411288,14.995792526863386,28,1,0,1,stage3_rank,C=c1sc(=Cc2ccc3ccccc3c2)c(=O)n1CC(=O)NCC1CCCO1,14,14,14
15,CHEMBL3099769,COc1cccc(OC)c1-c1nc(C(=O)N[C@@H](CC(C)C)C(=O)O)cn1-c1cccc2ccccc12,17.857142857142858,19.37081096862443,0.6615324986597206,12.814420981139245,5,487.5560000000002,4.938800000000004,2,6,9,1,,,,33.39071482145173,11,5,6,5,2,1,,,,,15.010488309483351,11.374510424296822,22.063221274460616,19.60554493747545,16,16,8,1.8065563223105816,1.4212505558151185,10.35189885962957,10.15877429347044,28,0,0,1,native_supported_hotspot_score,c1ccc(-c2nccn2-c2cccc3ccccc23)cc1,15,15,15
14,CHEMBL1547420,COC(=O)C(=Cc1ccc(OCc2ccc([N+](=O)[O-])cc2)c(OC)c1)C(=O)OC,17.857142857142858,19.333574592865546,0.6992165141750235,13.518354633366243,5,401.37100000000015,2.9118000000000013,0,8,8,1,,,,31.406220716887624,9,6,3,6,2,1,,,,,15.064507037389346,10.177605524618754,28.97924542859347,19.14993545726392,17,16,3,1.933240320312111,1.0732883860535023,10.12277066815208,10.178318846157726,28,0,0,1,native_supported_hotspot_score,c1ccc(COc2ccccc2)cc1,16,16,16
18,CHEMBL1312502,O=C(Nc1ccc(N2CCN(C(=O)c3ccco3)CC2)c(Cl)c1)c1cc2ccccc2o1,17.857142857142858,17.973222741778123,0.6526922390353297,11.730982994011873,5,449.8940000000002,4.893900000000004,1,5,4,1,,,,30.743637598735862,10,5,5,5,2,1,,,,,17.165908797600977,12.090975297477508,29.582574509293774,20.560340997884698,12,16,6,1.6657106508814734,1.4746280244214862,11.52637709777014,12.656751170929876,28,0,0,1,native_supported_hotspot_score,O=C(Nc1ccc(N2CCN(C(=O)c3ccco3)CC2)cc1)c1cc2ccccc2o1,17,17,17
17,ZINCj8000018TxlL,O=c1sc(Br)nn1C[C@@H](O)Cn1cc([N+](=O)[O-])cn1,14.285714285714286,15.88205815688328,0.7722467350883296,12.264867558136086,4,350.15400000000005,0.2330999999999999,1,9,5,1,,,,30.71184253871794,9,5,4,5,2,1,,,,,12.686450282892652,7.508320554256338,40.878169449598026,17.192798346848974,20,16,10,1.1434679773902665,1.1015548227748548,6.493394566788621,5.488546594655359,28,0,0,1,native_supported_hotspot_score,O=c1scnn1CCCn1cccn1,18,18,18
20,ZINCk600000cLi01,NOCCNC(=O)Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],14.285714285714286,15.18900525939404,0.7227871956401108,10.978418516000312,4,284.228,0.0520000000000007,2,7,7,1,,,,40.02566131863103,11,7,4,7,3,1,,,,,13.298176828754292,8.49773768148925,30.564050288820933,19.98004795122348,15,16,13,1.7129294498704193,1.0861746617903174,9.038073356639677,8.850528654894582,28,0,1,0,hotspot_breadth,c1ccccc1,19,19,19
19,CHEMBL1490404,Cn1cc([N+](=O)[O-])c(C(=O)Nc2nc(-c3ccc(Cl)cc3)cs2)n1,14.285714285714286,15.924846448928484,0.6951092917516571,11.06950873636857,4,363.786,3.357500000000001,1,7,4,1,,,,34.59562803357751,10,6,4,6,2,1,,,,,11.865448985651204,7.234234234458693,32.97610248829762,17.54799374763278,19,16,6,1.7641791614621682,1.228057447607133,9.866748856639653,9.665292441445947,28,0,1,0,hotspot_breadth,O=C(Nc1nc(-c2ccccc2)cs1)c1cc[nH]n1,20,20,20
