metric,n,pearson_r,pearson_p_value,pearson_ci_low,pearson_ci_high,spearman_rho,spearman_p_value,spearman_ci_low,spearman_ci_high,linear_slope,linear_intercept,linear_r_squared,linear_p_value,linear_std_err,x_min,x_max,y_min,y_max
pair_hash_overlap_pct,4997,0.27480605939912595,2.776741449772002e-87,0.24825632047016577,0.3034377881872981,0.2502523362136703,3.200287261769195e-72,0.22396601651913864,0.2791579716864892,0.21823648571431048,19.929104279809803,0.07551837028247578,2.7767414497727713e-87,0.010803947162497019,10.34484167,30.05417255,15.09433108,29.97082593
pair_hash_recall_pct,4997,0.29159459790600906,1.598200450671351e-98,0.26397543687703207,0.318908928608907,0.26026201078507744,3.62346250144041e-78,0.23415495822225382,0.28742945847571594,0.2993113552732976,20.351609315467368,0.085027409527967,1.5982004506719176e-98,0.01389248751924838,6.37053697,22.03460721,15.09433108,29.97082593
hotspot_compatible_matches,4997,0.3057986337105431,1.1944205690468041e-108,0.27222235709793774,0.33816418582438607,0.22131310286683517,1.718722579723598e-56,0.19175346847302524,0.25063181890772157,1.0507973974365044,19.17598448268982,0.09351280437923505,1.1944205690465415e-108,0.04629099741740571,1.0,6.0,15.09433108,29.97082593
cascade_score_pct,4997,0.11261997231941574,1.4113246433642657e-15,0.08467624659050313,0.14029074273735648,0.10632952933447104,4.85097654784682e-14,0.07941207771482693,0.13527202974677294,0.10582869774697588,21.439628472127147,0.012683258165225959,1.4113246433641829e-15,0.013211390823309922,23.73443986,36.48055984,15.09433108,29.97082593
