metric,estimate,ci_low,ci_high
pearson_r,0.056831310759682625,0.031998719668088184,0.08229109066413709
spearman_rho,0.061090328224133315,0.0354104616203314,0.08860240994630839
kendall_tau,0.042957588336359015,0.0247873516830618,0.062194182034134536
linear_slope_native_pct_per_screen_pct,0.1604609834634232,,
linear_intercept,22.1540163262837,,
linear_r_squared,0.0032297978826636136,,
linear_p_value,5.829246630893452e-05,,
linear_std_err,0.039885179775061924,,
linear_residual_rmse,1.885602908012202,,
linear_residual_mae,1.5122142808245744,,
