metric,estimate,ci_low,ci_high
pearson_r,0.49220590674696996,0.38355787180976153,0.588199196414009
spearman_rho,0.4447486494611819,0.3291336086306765,0.5505912265239769
kendall_tau,0.3344192569551675,0.24536320762685868,0.41961700351676495
linear_slope_native_pct_per_screen_pct,2.691428594257772,,
linear_intercept,32.791430166736916,,
linear_r_squared,0.24226665463660754,,
linear_p_value,2.483360324306649e-17,,
linear_std_err,0.2957633513630574,,
linear_residual_rmse,8.055701153243156,,
linear_residual_mae,6.130119964667604,,
