stage3_screen_rank,zinc_id,smiles,coverage_pct,anchor_weighted_pct,geometry_penalty_factor,weighted_coverage_pct,features_matched,mw,logp,hbd,hba,rotatable_bonds,lipinski,chemistry_flagged,pains_alert,reactive_flags,hotspot_weighted_pct,hotspot_bits_matched,hotspot_exact_matches,hotspot_compatible_matches,hotspot_exact_residue_count,hotspot_group_count,hotspot_required_groups_pass,native_supported_hotspot_bits_matched,native_supported_hotspot_exact_matches,native_supported_hotspot_exact_residue_count,native_supported_hotspot_weighted_pct,pair_hash_overlap_pct,pair_hash_recall_pct,pair_hash_precision_pct,cascade_score_pct,shortlist_rank,rerank_conformers,best_conformer_id,fit_rmsd_angstrom,mean_pair_distance_error_angstrom,reference_feature_span_angstrom,ligand_feature_span_angstrom,rerank_query_feature_count
13,CHEMBL1453900,Cc1ccc(C(=O)Nc2nnc(N=C(S)Nc3ccccc3)s2)cc1,14.285714285714286,17.368300854772684,0.8676688255468461,15.069933204404899,4,369.4750000000001,4.1282200000000016,3,5,4,1,,,,23.958631846148258,8,3,5,3,2,1,,,,,8.899189337446417,5.4542919267968335,24.155921680993316,12.664049964621876,107,16,0,0.6422963586676741,0.8209968021426076,12.047564276649453,11.00567151523165,28
14,CHEMBL3315193,CC(C)C[C@H](NC(=O)Cn1ccc2cc(-c3cnc4ccccc4c3)ccc21)C(=O)O,21.428571428571427,21.527267045397863,0.6996337362755584,15.061202274773407,6,415.4930000000001,4.472000000000002,2,4,7,1,,,,30.007752655245646,10,4,6,4,2,1,,,,,17.405276848412505,11.718454040741587,33.81555153707053,20.55589580012079,10,16,10,1.844889245795109,1.1102693692148293,12.790023064873655,13.344656391629941,28
15,ZINCk7000004fvZv,COCCn1cc(C(=O)NN(C)c2cnccn2)cn1,17.857142857142858,18.646621874888975,0.8073735190741179,15.054788721973539,5,276.3,0.10069999999999957,1,7,6,1,,,,23.003440943939186,8,3,5,3,2,1,,,,,9.10545201086599,5.922116756725176,19.68888349808964,12.579949244134289,112,16,2,1.2907088271379814,0.8684824344787836,10.122770668152079,9.850325970488834,28
16,ZINCk800000PCx9Y,O=[N+]([O-])c1ccc(S(=O)(=O)NCCO[C@H]2CCOC2)o1,17.857142857142858,18.614658157328254,0.8041331322855326,14.96866337047681,5,306.29600000000005,0.27159999999999984,1,7,7,1,,,,30.094957272000688,9,5,4,5,2,1,,,,,10.547364891880108,6.891202121078383,22.467740093639367,15.434262986910252,31,16,14,1.1104563597827104,0.9189856144744741,7.8947932208513265,6.84547700487782,28
17,ZINCk600000Gghn9,O=CNCC(=O)N1CCOc2cc([N+](=O)[O-])ccc2C1,14.285714285714286,15.882058156883279,0.9366857785047747,14.876498008938322,4,279.25200000000007,0.06179999999999941,1,5,4,1,,,,26.753501871115127,8,4,4,4,2,1,,,,,9.006263650717804,5.451347181604184,25.88877602844083,13.443073205817136,78,16,5,0.5209486960733757,0.5520397461633931,6.493394566788621,6.732085597272893,28
18,ZINCk8000004i6V5,CN(Cc1cnccn1)C(=O)c1cccnc1C(N)=O,17.857142857142858,18.614658157328254,0.7911478035271898,14.726945914579735,5,271.28,0.24270000000000025,1,5,4,1,,,,23.003440943939186,8,3,5,3,2,1,,,,,10.45841324438331,6.851876135716879,22.08082161196695,13.594670169272277,69,16,14,1.4256603950236555,0.8731788166545276,7.8947932208513265,7.9390531765884385,28
19,ZINCf5000000arqq,O=C(NC[C@H](O)CF)c1ccc[n+]([O-])c1,14.285714285714286,15.882058156883279,0.9242276199767971,14.67863681066931,4,214.19600000000003,-0.6198000000000004,2,3,4,1,,,,21.580921369014565,6,3,3,3,2,1,,,,,3.6818475494133676,2.0344900021602363,19.34914506343078,8.156616004313666,358,16,12,0.6922184211916126,0.5361005460898501,6.493394566788621,6.71399393427895,28
20,ZINCk800000J9Yo7,CN(Cc1ccoc1)C(=O)c1cc(-n2cnnn2)n[nH]1,17.857142857142858,18.646621874888975,0.7788079483074436,14.52213732524698,5,273.256,0.25059999999999977,1,7,4,1,,,,23.50426427259268,8,3,5,3,2,1,,,,,10.779691373591893,6.669004654866343,28.100421348314608,13.960834598342089,55,16,7,1.1411467127854775,1.1397038504690236,10.122770668152079,9.67546759305671,28
21,CHEMBL1493442,COc1ccc(Oc2cc(NC(=O)c3nn(C)cc3[N+](=O)[O-])cc([N+](=O)[O-])c2)cc1,17.857142857142858,18.646621874888975,0.7728234687558585,14.410546997930567,5,413.3460000000002,3.2897000000000007,1,9,7,1,,,,51.66187788934886,14,11,3,11,3,1,,,,,25.88090953616519,18.59290442895844,42.56572870264858,32.326151624461104,1,16,13,1.307590599892493,1.0519735804811934,10.122770668152079,10.649825446503488,28
22,ZINCk700000Pz8Me,CCO[C@@H](C)C(=O)NCCC(=O)Nc1ccc[n+]([O-])c1,14.285714285714286,15.882058156883279,0.90261240109165,14.33534264726164,4,281.312,0.18980000000000025,2,4,7,1,,,,25.976950398411248,8,3,5,3,2,1,,,,,8.389276392209885,5.057806959170433,24.57882069795427,12.786194893760225,100,16,5,0.7668434542652366,0.6404835695842059,6.493394566788621,6.703199489452426,28
