metric,estimate,ci_low,ci_high
pearson_r,0.4069576866573686,0.2978832308191867,0.505405911592758
spearman_rho,0.31279682258783215,0.20600228518126382,0.4101070249320511
kendall_tau,0.23036560415511556,0.15189670786933707,0.3036259264440441
linear_slope_native_pct_per_screen_pct,2.268393051899522,,
linear_intercept,29.253608019290713,,
linear_r_squared,0.1656145587295178,,
linear_p_value,4.097877771820238e-15,,
linear_std_err,0.27572441365520917,,
linear_residual_rmse,9.169316826801335,,
linear_residual_mae,7.060259511943181,,
