job,method,metric,identifier_ordered,tie_aware,correction
mdm2_seed3,full_cascade,roc_auc,1.0,1.0,tie handling
mdm2_seed3,full_cascade,pr_auc,1.0,1.0,tie handling
mdm2_seed3,full_cascade,ef_1pct,40.0,31.0,tie handling plus actual-cutoff EF normalization
mdm2_seed3,full_cascade,ef_5pct,20.0,19.375,tie handling plus actual-cutoff EF normalization
mdm2_seed3,full_cascade,ef_01pct,100.0,31.0,tie handling plus actual-cutoff EF normalization
mdm2_seed3,full_cascade,top10_recovery,1.0,1.0,tie handling
mdm2_seed3,full_cascade,top25_recovery,1.0,1.0,tie handling
mdm2_seed3,full_cascade,top50_recovery,1.0,1.0,tie handling
mdm2_seed3,full_cascade,bedroc,1.0,1.0,tie handling
mdm2_seed3,stage3_only,roc_auc,0.6893333333333334,0.6893333333333334,tie handling
mdm2_seed3,stage3_only,pr_auc,0.075736855774367,0.07573685577436698,tie handling
mdm2_seed3,stage3_only,ef_1pct,0.0,0.0,tie handling plus actual-cutoff EF normalization
mdm2_seed3,stage3_only,ef_5pct,2.0,1.9375,tie handling plus actual-cutoff EF normalization
mdm2_seed3,stage3_only,ef_01pct,0.0,0.0,tie handling plus actual-cutoff EF normalization
mdm2_seed3,stage3_only,top10_recovery,0.1,0.1,tie handling
mdm2_seed3,stage3_only,top25_recovery,0.1,0.1,tie handling
mdm2_seed3,stage3_only,top50_recovery,0.4,0.4,tie handling
mdm2_seed3,stage3_only,bedroc,0.1399399892231604,0.13993998922316034,tie handling
mdm2_seed3,standard_3d_pharmacophore,roc_auc,0.6890000000000001,0.689,tie handling
mdm2_seed3,standard_3d_pharmacophore,pr_auc,0.0757212944784222,0.07572129447842227,tie handling
mdm2_seed3,standard_3d_pharmacophore,ef_1pct,0.0,0.0,tie handling plus actual-cutoff EF normalization
mdm2_seed3,standard_3d_pharmacophore,ef_5pct,2.0,1.9375,tie handling plus actual-cutoff EF normalization
mdm2_seed3,standard_3d_pharmacophore,ef_01pct,0.0,0.0,tie handling plus actual-cutoff EF normalization
mdm2_seed3,standard_3d_pharmacophore,top10_recovery,0.1,0.1,tie handling
mdm2_seed3,standard_3d_pharmacophore,top25_recovery,0.1,0.1,tie handling
mdm2_seed3,standard_3d_pharmacophore,top50_recovery,0.4,0.4,tie handling
mdm2_seed3,standard_3d_pharmacophore,bedroc,0.1399399885093198,0.1399399885093198,tie handling
