method,n_shared,tau_shared,kendall_tau,spearman_r,n_common,tau_common,rho_common,jaccard_top10,jaccard_top50,jaccard_top100,jaccard_top500
Hotspot-score ordering,1000,-0.0231631631631631,-0.0231631631631631,-0.0339473379473379,49757,0.0569536264399611,0.0700799639480295,0.0,0.0,0.0,0.0
Pair-overlap ordering,1000,0.1073073073073073,0.1073073073073073,0.1600995640995641,49757,0.0660388387810208,0.0812650172480764,0.0,0.0101010101010101,0.0101010101010101,0.0319917440660474
Cascade score only within native pool,1000,0.0546546546546546,0.0546546546546546,0.0811885651885652,49757,0.4201584042065233,0.4328545535643648,0.0,0.0204081632653061,0.015228426395939,0.097694840834248
"Observed Stage-3 top-5,000 subset",424,1.0,0.2297554174607018,1.0,49757,0.2816375884055896,0.2847413130717839,0.1111111111111111,0.2987012987012987,0.2738853503184713,0.2690355329949238
Native-fit RMSD ordering,1000,0.680948948948949,0.680948948948949,0.6674785514785515,49757,0.4170058878143737,0.4267690983923003,0.0,0.0,0.0,0.0204081632653061
