metric,estimate,ci_low,ci_high
pearson_r,0.44874516005048726,0.04763217210590281,0.737996199148454
spearman_rho,0.2835436868147591,-0.3032157483615842,0.732981247358942
kendall_tau,0.21096325392232293,-0.20832259034882164,0.6016946526766802
linear_slope_native_pct_per_screen_pct,2.177914583787082,,
linear_intercept,44.223416497607886,,
linear_r_squared,0.20137221866873736,,
linear_p_value,0.10751155117949662,,
linear_std_err,1.2520528159501612,,
linear_residual_rmse,9.126193044065408,,
linear_residual_mae,6.848260847827301,,
