system,ligand_id,smiles,policy,stage_lost,reason_class,reason_detail,structural_alerts,stage0_pass,final_ranked
MDM2-p53,CHEMBL5876084,CO[C@]1(c2ccc(Cl)cc2)c2c(F)cc(C(C)(C)O)cc2C(=O)N1Cc1ccc(C#N)cn1,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
MDM2-p53,CHEMBL6024824,CC1CCCN1c1nc2nc(-c3noc(=O)[nH]3)nc(N[C@H](C)C3CCC3)c2n1C[C@H]1CC[C@H](C)CC1,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
MDM2-p53,CHEMBL5877121,CC(O)(CO)c1ccc2c(c1)C(=O)N(Cc1ccc(C#N)cc1)[C@]2(C)OCC1(CO)CC1,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
MDM2-p53,CHEMBL5859878,C[C@H](CO)Nc1nc2nc(-c3noc(=O)[nH]3)nc(-c3cccc(Cl)c3)c2n1C[C@H]1CC[C@H](C)CC1,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
MDM2-p53,CHEMBL5267044,Cc1c(Cl)ccc2c(/C=C3\NC(=O)N(Cc4ccc(F)c(F)c4)C3=O)c[nH]c12,5% + floor1000; alerts non-excluding,Shortlist,below shortlist cut,"outside the 5% shortlist with a minimum of 1,000 eligible candidates",reactive:michael_acceptor,True,False
MDM2-p53,CHEMBL5816136,C[C@@H](Nc1nc(C(=O)O)nc2nc(-c3ncco3)n(Cc3ccc(C(F)(F)F)cc3)c12)C1CCC1,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
MDM2-p53,CHEMBL5988926,C[C@H](CO)Nc1nc2nc(C(=O)O)nc(N[C@H](C)C3CCC3)c2n1Cc1ccc(C(F)(F)F)cc1,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
MDM2-p53,CHEMBL6024197,Cc1cn(C[C@H]2CC[C@H](C)CC2)c2c(-c3cncc(Cl)c3)nc(-c3noc(=O)[nH]3)nc12,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
MDM2-p53,CHEMBL5901726,C[C@@H](Nc1nc(-c2noc(=O)[nH]2)nc2nc(N3CC(C)(O)C3)n(C[C@H]3CC[C@H](C)CC3)c12)C1CCC1,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
MDM2-p53,CHEMBL4115504,O=C(O)C[C@H]1C[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N([C@H](CO)C2CC2)C1=O,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
MDM2-p53,CHEMBL199341,C=C(C(=O)O)C(CCCCCC)C(=O)O,5% + floor1000; alerts non-excluding,Shortlist,below shortlist cut,"outside the 5% shortlist with a minimum of 1,000 eligible candidates",reactive:michael_acceptor,True,False
MDM2-p53,CHEMBL4114636,C[C@]1(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N([C@H]2CC[C@@H](O)[C@H]2O)C1=O,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
MDM2-p53,CHEMBL5811937,C[C@H]1CC[C@H](Cn2c(C3(F)COC3)nc3nc(-c4noc(=O)[nH]4)nc(-c4cncc(Cl)c4)c32)CC1,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
MDM2-p53,CHEMBL6030067,C[C@@H](Nc1nc(C(=O)O)nc2nc(-c3ncccn3)n(Cc3ccc(C(F)(F)F)cc3)c12)C1CCC1,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
MDM2-p53,CHEMBL6006846,C[C@H](CO)Nc1nc2nc(-c3n[nH]c(=O)o3)nc(-c3cccc(Cl)c3)c2n1C[C@H]1CC[C@H](C)CC1,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
MDM2-p53,CHEMBL5854116,Cc1cn(C[C@H]2CC[C@H](C)CC2)c2c(-c3cncc(Cl)c3)nc(C(=O)O)nc12,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
MDM2-p53,CHEMBL2177185,O=C1[C@@H](Cc2nnn[nH]2)C[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N1CC1CC1,5% + floor1000; alerts non-excluding,Shortlist,below shortlist cut,"outside the 5% shortlist with a minimum of 1,000 eligible candidates",,True,False
MDM2-p53,CHEMBL4109769,O=C(O)C[C@H]1C[C@H](c2cccc(Cl)c2)[C@]2(C(=O)Nc3cc(Cl)ccc32)N(CC2CC2)C1=O,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
MDM2-p53,CHEMBL2313485,COc1cc(C(O)c2c(-c3cc[nH]c3)[nH]c3ccccc23)cc(OC)c1OC,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
MDM2-p53,CHEMBL514709,COc1ccc(/C=C2/C(=O)Nc3ccccc32)c(OC)c1,5% + floor1000; alerts non-excluding,Shortlist,below shortlist cut,"outside the 5% shortlist with a minimum of 1,000 eligible candidates",reactive:michael_acceptor,True,False
MDM2-p53,CHEMBL5808134,C[C@H]1CC[C@H](Cn2ccc3nc(-c4n[nH]c(=O)o4)nc(-c4cncc(Cl)c4)c32)CC1,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
MDM2-p53,CHEMBL5745234,C[C@@H](Nc1nc(C(=O)O)nc2nc(-c3nccs3)n(Cc3ccc(Cl)cc3)c12)C1CC1,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
MDM2-p53,CHEMBL2347389,O=C(O)C[C@@H]1O[C@@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N(CC2CC2)C1=O,5% + floor1000; alerts non-excluding,Shortlist,below shortlist cut,"outside the 5% shortlist with a minimum of 1,000 eligible candidates",,True,False
MDM2-p53,CHEMBL5775440,Cc1nc2nc(C(=O)O)nc(N[C@H](C)C3CCC3)c2n1C[C@H]1CC[C@H](C)CC1,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
MDM2-p53,CHEMBL5747471,C[C@H]1CC[C@H](Cn2ccc3nc(-c4noc(=O)[nH]4)nc(-c4cccc(Cl)c4)c32)CC1,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
MDM2-p53,CHEMBL3265101,COc1ccc(/C=C2/C(=O)Nc3cc(F)ccc32)c(-c2ccc(C#N)cc2)c1,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,reactive:michael_acceptor,True,True
MDM2-p53,CHEMBL4068667,CC(CC(=O)N[C@@H](Cc1ccc(OCCCNc2ccccn2)cc1)C(=O)O)c1ccccc1,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
MDM2-p53,CHEMBL5928219,C[C@@H](Nc1nc(C(=O)O)nc2nc(N3CCOC[C@@H]3C)n(Cc3ccc(Cl)cc3)c12)C1CC1,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
MDM2-p53,CHEMBL3220103,O=C1NC(=O)C(=Cc2cc(-c3ccccc3)n(-c3ccc([N+](=O)[O-])cc3)c2-c2ccccc2)C(=O)N1,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,PAINS:ene_six_het_A(483); reactive:michael_acceptor,True,True
MDM2-p53,CHEMBL6012158,C[C@@H](Nc1nc(C(=O)O)nc2nc(-c3nccn3C)n(Cc3ccc(C(F)(F)F)cc3)c12)C1CCC1,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
MDM2-p53,CHEMBL1688303,O=C1c2ccccc2[C@](OCC2(CO)CC2)(c2ccc(Cl)cc2)N1Cc1ccc([N+](=O)[O-])cc1,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
MDM2-p53,CHEMBL3217780,O=C1NC(=S)NC(=O)C1=Cc1cc(-c2ccccc2)n(-c2ccc([N+](=O)[O-])cc2)c1-c1ccccc1,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,PAINS:ene_six_het_A(483); reactive:michael_acceptor,True,True
MDM2-p53,CHEMBL416288,CN1CCc2cccc3c2[C@@H]1Cc1ccc(O)c(O)c1-3,5% + floor1000; alerts non-excluding,Shortlist,below shortlist cut,"outside the 5% shortlist with a minimum of 1,000 eligible candidates",PAINS:catechol_A(92),True,False
MDM2-p53,CHEMBL6050672,C[C@@H](Nc1nc(C(=O)O)nc2nc(-c3cnn(C)c3)n(Cc3ccc(C(F)(F)F)cc3)c12)C1CCC1,5% + floor1000; alerts non-excluding,-,retained,present in the final native ranking,,True,True
