system,policy,stage,total,actives,decoys,background,active_survival_pct
ntsr1,floor1000,input,31550,50,1500,30000,100.0
ntsr1,floor1000,stage0_pass,31364,48,1500,29816,96.0
ntsr1,floor1000,stage012_pass,398,35,279,84,70.0
ntsr1,floor1000,shortlist,398,35,279,84,70.0
ntsr1,floor1000,stage3_success,397,35,279,83,70.0
ntsr1,floor1000,native_selected,343,35,252,56,70.0
ntsr1,floor1000,native_success,343,35,252,56,70.0
ntsr1,floor1000,final_ranked,343,35,252,56,70.0
