ablation,n_shared,tau_shared,tau_1000,rho_shared,n_common,tau_common,rho_common,J10,J50,J100,J500
Hotspot-score ordering,1000,-0.023163163163163164,-0.023163163163163164,-0.03394733794733795,49757,0.056953626439961116,0.07007996394802951,0.0,0.0,0.0,0.0
Pair-overlap ordering,1000,0.10730730730730731,0.10730730730730731,0.1600995640995641,49757,0.06603883878102083,0.0812650172480764,0.0,0.010101010101010102,0.010101010101010102,0.03199174406604747
Cascade score only within native pool,1000,0.05465465465465466,0.05465465465465466,0.0811885651885652,49757,0.42015840420652334,0.4328545535643648,0.0,0.02040816326530612,0.015228426395939087,0.09769484083424808
"Observed Stage-3 top-5,000 subset",424,1.0,0.22975541746070183,0.9999999999999999,49757,0.28163758840558967,0.2847413130717839,0.1111111111111111,0.2987012987012987,0.27388535031847133,0.26903553299492383
Native-fit RMSD ordering,1000,0.680948948948949,0.680948948948949,0.6674785514785515,49757,0.41700588781437375,0.4267690983923003,0.0,0.0,0.0,0.02040816326530612
