metric,curated,automated_no_curation
roc_auc,0.7531666666666667,0.5765
pr_auc,0.3634136567058649,0.1543778801843318
ef_1pct,23.25,11.625
bedroc,0.480058876356489,0.2538832812042259
top10_recovery,0.4012987012987013,0.2
