metric,estimate,ci_low,ci_high
pearson_r,0.04906312428353752,0.023129864484214547,0.07356823398656265
spearman_rho,0.05498247369181546,0.02742873224137834,0.08052738274671262
kendall_tau,0.03863075142585881,0.01947538134251444,0.056741792873917146
linear_slope_native_pct_per_screen_pct,0.1397307079265646,,
linear_intercept,22.390781894676966,,
linear_r_squared,0.002407190164461848,,
linear_p_value,0.0005214909927561904,,
linear_std_err,0.04024811712008266,,
linear_residual_rmse,1.8931323224959433,,
linear_residual_mae,1.520173828188229,,
