ligand_id,weighted_coverage_pct,native_weighted_coverage_pct,screen_rank,native_rank,rank_shift,abs_rank_shift
CHEMBL3315213,17.208838613059456,92.87906469107205,1,1,0,0
CHEMBL1597454,12.704917650941503,82.68542415239115,82,2,80,80
CHEMBL3099777,12.53081595959083,82.68542415239115,95,3,92,92
CHEMBL3315193,15.061202274773407,82.68542415239115,13,4,9,9
CHEMBL3315202,16.418377401924303,82.68542415239115,3,5,-2,2
CHEMBL3315203,15.696065536984223,82.68542415239115,8,6,2,2
CHEMBL3315204,15.926627279753909,82.68542415239115,7,7,0,0
CHEMBL3315209,16.441424029751406,82.68542415239115,2,8,-6,6
CHEMBL462830,13.558837317587557,82.68542415239115,33,9,24,24
CHEMBL463811,15.994255419481494,82.68542415239115,6,10,-4,4
ZINCk5000009Egfg,9.336823776905948,82.68542415239115,303,11,292,292
ZINCk800000BmxSQ,11.123591364270087,82.68542415239115,215,12,203,203
ZINCk800000J9VdZ,13.580704123044807,82.68542415239115,32,13,19,19
ZINCk800001bPO03,12.857811327793575,82.68542415239115,72,14,58,58
CHEMBL1493442,14.410546997930568,72.25788784674289,19,15,4,4
ZINCj500000fjuwm,9.81734332163821,72.25788784674289,289,16,273,273
ZINCk600000PzDK9,11.834030075654548,72.25788784674289,146,17,129,129
ZINCk600000PzGe5,10.864225853207577,72.25788784674289,244,18,226,226
ZINCk700000drnWa,12.568139743849954,72.25788784674289,93,19,74,74
ZINCk8000004iBQE,10.709975048726966,72.25788784674289,252,20,232,232
ZINCk800000GfTHg,12.68175779027598,72.25788784674289,84,21,63,63
ZINCk800000Pu56y,11.510212370517072,72.25788784674289,176,22,154,154
ZINCk800000dscoJ,11.608624727812767,72.25788784674289,167,23,144,144
ZINCk500000dpM9s,13.599547995210184,71.57077430716429,31,24,7,7
ZINCk600000JSgPv,12.955851242645922,71.57077430716429,59,25,34,34
ZINCk8000004il1c,12.827354795229894,71.57077430716429,75,26,49,49
ZINCk800000JTkS3,12.681786908558948,71.57077430716429,83,27,56,56
ZINCk800000drOzz,12.87763121007842,71.57077430716429,71,28,43,43
ZINCk800001bOMg9,10.362505558380455,71.57077430716429,271,29,242,242
CHEMBL1446377,13.815631913975963,68.49771632385236,26,30,-4,4
CHEMBL1538066,16.13899224380547,68.49771632385236,5,31,-26,26
CHEMBL2431121,13.635079976663867,68.49771632385236,29,32,-3,3
CHEMBL3099769,12.814420981139245,68.49771632385236,76,33,43,43
ZINCk600000Bn1Zw,12.784480692972217,66.73165059135103,78,34,44,44
ZINCk7000004eFYM,12.41240088440842,66.73165059135103,103,35,68,68
ZINCk7000018Toxa,12.839880965188955,66.73165059135103,74,36,38,38
ZINCk600000PBwsY,12.307111008230637,65.42501109409943,118,37,81,81
ZINCi7000018Tsyn,11.899628445445446,61.877308079134906,139,38,101,101
ZINCj800000d8IrB,11.077539155825647,61.877308079134906,218,39,179,179
ZINCk5000003VjCJ,12.307134423143282,61.877308079134906,117,40,77,77
ZINCk600000AIXCm,13.104532237731316,61.877308079134906,52,41,11,11
ZINCk600001bOrCw,13.4749550660913,61.877308079134906,38,42,-4,4
ZINCk700000GfxNO,11.14287079964224,61.877308079134906,210,43,167,167
ZINCk800000ds2R3,12.590002519924155,61.877308079134906,91,44,47,47
ZINCi70000011IGK,11.772105708252893,61.14323800151604,152,45,107,107
ZINCi700000136U0,13.871390431734708,61.14323800151604,25,46,-21,21
ZINCj700000xcke4,10.958954022550104,61.14323800151604,240,47,193,193
ZINCj8000002rN80,10.995761229400353,61.14323800151604,232,48,184,184
ZINCj800000frbcd,15.487325840682583,61.14323800151604,9,49,-40,40
ZINCk6000004bXbJ,12.454328154877537,61.14323800151604,99,50,49,49
ZINCk6000004dMm9,13.8131263510017,61.14323800151604,27,51,-24,24
ZINCk600000dqR4B,11.45518189107584,61.14323800151604,180,52,128,128
ZINCk600000w9zOR,11.182403744678334,61.14323800151604,209,53,156,156
ZINCk7000004f2jz,13.626294400173991,61.14323800151604,30,54,-24,24
ZINCk700000wTyDp,12.489908142665804,61.14323800151604,97,55,42,42
ZINCk8000004jCFq,12.90425143794569,61.14323800151604,68,56,12,12
ZINCk800000JTEfE,12.362550264112356,61.14323800151604,108,57,51,51
ZINCk800000cvz8e,13.508356826843729,61.14323800151604,36,58,-22,22
CHEMBL1301125,10.30048922223707,58.30407578517147,275,59,216,216
CHEMBL1328169,12.377274690138576,58.30407578517147,105,60,45,45
CHEMBL1453900,15.0699332044049,58.30407578517147,12,61,-49,49
CHEMBL1461496,12.898451243347427,58.30407578517147,69,62,7,7
CHEMBL1490404,11.06950873636857,58.30407578517147,224,63,161,161
CHEMBL1611170,12.197461666632885,58.30407578517147,126,64,62,62
CHEMBL2431119,13.192292596509596,58.30407578517147,49,65,-16,16
CHEMBL2431120,14.024965266782358,58.30407578517147,23,66,-43,43
ZINCf5000000Wzf7,6.354941299648427,58.30407578517147,328,67,261,261
ZINCf5000000Zw6u,8.686076166827869,58.30407578517147,310,68,242,242
ZINCf5000000a9sb,10.85673938928469,58.30407578517147,246,69,177,177
ZINCf5000000axSb,7.696261116860771,58.30407578517147,323,70,253,253
