metric,estimate,ci_low,ci_high
pearson_r,0.36062363529303115,0.23640008934820403,0.47365098120924687
spearman_rho,0.27356025228660374,0.16188061392476724,0.38266302230832905
kendall_tau,0.2006227237210658,0.12019398996040574,0.2836006155532505
linear_slope_native_pct_per_screen_pct,1.937967141442707,,
linear_intercept,32.73426396770736,,
linear_r_squared,0.13004940633196202,,
linear_p_value,1.535400926005418e-11,,
linear_std_err,0.2771823933018531,,
linear_residual_rmse,8.747915663435903,,
linear_residual_mae,6.775604295636732,,
