system,n_actives,metric,full_cascade,native_only,observed_delta,delta_mean,ci90_low,ci90_high,ci95_low,ci95_high,margin,p_tost,equivalent
GLP-1R,10,roc_auc,0.7996666666666667,0.809,-0.009333333333333305,-0.012015399999999997,-0.10233333333333328,0.04999999999999994,-0.12900833333333345,0.05599999999999994,0.05,0.1982,False
GLP-1R,10,bedroc,0.5462901419141838,0.5454819223370314,0.0008082195771523804,0.0012205121636617662,5.700648438516365e-05,0.004164306238449936,2.501018570328917e-05,0.005383387561600982,0.05,0.0,True
GHSR,50,roc_auc,0.942,0.95248,-0.010480000000000045,-0.01047538399999999,-0.04122999999999997,0.018519999999999988,-0.04726733333333335,0.0243210000000001,0.05,0.02,True
GHSR,50,bedroc,0.660433545934533,0.848356791432701,-0.18792324549816808,-0.18452840247201713,-0.2914781181768781,-0.0816583146025092,-0.31261063356004615,-0.06271809786534514,0.05,0.986,False
NTSR1,50,roc_auc,0.86076,0.7441466666666666,0.11661333333333335,0.11656373066666666,0.05646333333333333,0.17514133333333348,0.046518333333333224,0.1862283333333334,0.05,0.9662,False
NTSR1,50,bedroc,0.45134281433817813,0.43709293171365793,0.014249882624520205,0.018479944921872486,-0.10195100320300007,0.1421591385482442,-0.1261891024273673,0.16707994399310816,0.05,0.3312,False
MDM2-p53,50,roc_auc,0.8376,0.9598266666666667,-0.1222266666666667,-0.12221848,-0.20253466666666659,-0.051758666666666585,-0.21746900000000013,-0.0411196666666666,0.05,0.964,False
MDM2-p53,50,bedroc,0.8594322342154478,0.9362130766918169,-0.07678084247636907,-0.07670071315096952,-0.1393901368351952,-0.029531097830368502,-0.150116863783548,-0.015388119316652925,0.05,0.7408,False
